,GEOID10,canrate_x,mean,canrate_y,residual
207,55141010900,0.4,1.2700738503010525,0.4,3.1850834464720954
208,55141010100,0.42,1.6853971693434782,0.42,2.816837018452677
209,55035001700,0.01,5.278514240099036,0.01,-1.7413563182745144
210,55035000801,0.01,5.534058900979849,0.01,-1.9969009791553272
211,55035001101,0.01,4.864577253659566,0.01,-1.3274193318350442
212,55035000700,0.01,5.565486302246919,0.01,-2.0283283804223973
213,55035001200,0.02,4.926505151002304,0.02,-1.3658087836662784
214,55035000600,0.02,5.226534491679708,0.02,-1.6658381243436824
215,55035000400,0.06,6.0716359570900105,0.06,-2.4167858077079725
216,55133204003,0.2,3.250991231274037,0.2,0.7333971552690466
217,55133203901,0.07,4.579413341653758,0.07,-0.9010247467602168
218,55133203703,0.11,2.454828718029861,0.11,1.3177136589096934
219,55133203305,0.07,2.4690837459226627,0.07,1.2093048489708789
220,55133202901,0.03,1.9787665161432004,0.03,1.605468296704328
221,55133202103,0.04,2.8376193346677128,0.04,0.7701539236913191
222,55133202101,0.12,2.640397803383584,0.12,1.1556830190674732
223,55133201703,0.08,2.3606390808567856,0.08,1.341287959548259
224,55035001400,0.0,4.904166113246571,0.0,-1.3905466369335526
225,55035000802,0.01,5.384132569486445,0.01,-1.846974647661923
226,55035000803,0.03,5.8504789205697865,0.03,-2.266244107722258
227,55035001600,0.42,5.378900478738916,0.42,-0.8766662909427607
228,55035000301,0.08,4.743657950535874,0.08,-1.0417309101308292
229,55035000200,0.54,5.206045259494691,0.54,-0.4213497255604972
230,55035001300,0.05,5.662017774581909,0.05,-2.0307060707113744
231,55035000900,0.01,5.223342823655638,0.01,-1.686184901831116
232,55035000302,0.22,5.262758989123388,0.22,-1.2312937115572984
233,55035001500,0.14,5.380931903918584,0.14,-1.53777419044452
234,55133201403,0.05,2.1409366577863693,0.05,1.4903750460841656
235,55133200804,0.06,2.1936643198132515,0.06,1.4611858295687865
236,55133204302,0.01,2.6867566431983043,0.01,0.8504012786262174
